ARFCN:  982, Freq:  926.6M, CID: 36183, LAC:   488, MCC: 262, MNC:   3, Pwr: -35
ARFCN:  988, Freq:  927.8M, CID: 46503, LAC:  1998, MCC: 262, MNC:   3, Pwr: -32
ARFCN:  992, Freq:  928.6M, CID: 29183, LAC: 59063, MCC: 262, MNC:   3, Pwr: -35
ARFCN:  996, Freq:  929.4M, CID: 13043, LAC:  1998, MCC: 262, MNC:   3, Pwr: -35
ARFCN: 1006, Freq:  931.4M, CID: 13033, LAC:  1998, MCC: 262, MNC:   3, Pwr: -26
ARFCN: 1012, Freq:  932.6M, CID: 13053, LAC:  1998, MCC: 262, MNC:   3, Pwr: -45
ARFCN: 1017, Freq:  933.6M, CID:     0, LAC:     0, MCC:   0, MNC:   0, Pwr: -35
ARFCN:    8, Freq:  936.6M, CID: 48121, LAC:  7222, MCC: 262, MNC:   2, Pwr: -29
ARFCN:   29, Freq:  940.8M, CID: 48122, LAC:  7222, MCC: 262, MNC:   2, Pwr: -27
ARFCN:   31, Freq:  941.2M, CID: 11822, LAC:  7222, MCC: 262, MNC:   2, Pwr: -39
ARFCN:   32, Freq:  941.4M, CID: 48123, LAC:  7222, MCC: 262, MNC:   2, Pwr: -48
ARFCN:   34, Freq:  941.8M, CID: 14663, LAC:  7222, MCC: 262, MNC:   2, Pwr: -45
ARFCN:   49, Freq:  944.8M, CID: 13163, LAC:  7222, MCC: 262, MNC:   2, Pwr: -31
ARFCN:   52, Freq:  945.4M, CID:     0, LAC:     0, MCC:   0, MNC:   0, Pwr: -46
ARFCN:   54, Freq:  945.8M, CID: 25271, LAC: 17677, MCC: 262, MNC:   1, Pwr: -36
ARFCN:   65, Freq:  948.0M, CID: 25267, LAC: 17677, MCC: 262, MNC:   1, Pwr: -37
ARFCN:   66, Freq:  948.2M, CID: 13016, LAC: 17677, MCC: 262, MNC:   1, Pwr: -42
ARFCN:   69, Freq:  948.8M, CID: 63624, LAC: 17677, MCC: 262, MNC:   1, Pwr: -40
ARFCN:   73, Freq:  949.6M, CID:     0, LAC:     0, MCC:   0, MNC:   0, Pwr: -45
ARFCN:   75, Freq:  950.0M, CID: 13018, LAC: 17677, MCC: 262, MNC:   1, Pwr: -29
ARFCN:   82, Freq:  951.4M, CID: 13017, LAC: 17677, MCC: 262, MNC:   1, Pwr: -26
